elapsed_s,adapter,phc_ns,delta_ns
0,0,50580753,0
0,1,33094204,0
0,2,90011130902,0
10,0,10311967566,0
10,1,10119801062,0
10,2,90110829520,0
20,0,20608127828,0
20,1,20240194383,0
20,2,90210858778,0
30,0,30902312505,0
30,1,30357997785,0
30,2,90310870319,0
40,0,41208592003,0
40,1,40488022459,0
40,2,90410998128,0
50,0,51501759116,0
50,1,50605127953,0
50,2,90510997222,0
60,0,61802351145,0
60,1,60729602207,0
60,2,90611072883,0
70,0,72095311174,0
70,1,70846529752,0
70,2,90711073343,0
80,0,82390957788,0
80,1,80966175518,0
80,2,90811098750,0
90,0,92696105001,0
90,1,91095419776,0
90,2,90911216625,0
100,0,102988816918,0
100,1,101211699270,0
100,2,91011211827,0
110,0,113295601124,0
110,1,111342497237,0
110,2,91111350981,0
120,0,123594600210,0
120,1,121465291391,0
120,2,91211404439,0
130,0,133903378815,0
130,1,131597885570,0
130,2,91311562001,0
140,0,144210437589,0
140,1,141728595137,0
140,2,91411696672,0
150,0,154512275492,0
150,1,151854279358,0
150,2,91511790684,0
160,0,165024546715,0
160,1,162245613437,0
160,2,91614540003,0
170,0,175167792571,0
170,1,172156517069,0
170,2,91712456118,0
180,0,185461301055,0
180,1,182273949583,0
180,2,91812459746,0
190,0,195768514154,0
190,1,192404948501,0
190,2,91912599062,0
200,0,206069184791,0
200,1,202529499354,0
200,2,92012673014,0
210,0,216375037532,0
210,1,212659014445,0
210,2,92112795395,0
220,0,226674497683,0
220,1,222782610641,0
220,2,92212859656,0
230,0,236978976456,0
230,1,232910907897,0
230,2,92312970523,0
240,0,247279806393,0
240,1,243035219112,0
240,2,92413045933,0
250,0,257573788583,0
250,1,253153385793,0
250,2,92513055573,0
260,0,267867615144,0
260,1,263271047215,0
260,2,92613063051,0
270,0,278172271700,0
270,1,273399569040,0
270,2,92713178117,0
280,0,288476272879,0
280,1,283527488804,0
280,2,92813286935,0
290,0,298777248314,0
290,1,293652116597,0
290,2,92913359601,0
